Date Time, Memory Used (GB)
2024-05-10 08:43:03, 60.59
2024-05-10 08:43:06, 60.79
2024-05-10 08:43:09, 60.99
2024-05-10 08:43:12, 61.10
2024-05-10 08:43:16, 61.30
2024-05-10 08:43:19, 61.49
2024-05-10 08:43:22, 61.69
2024-05-10 08:43:25, 61.89
2024-05-10 08:43:29, 62.83
2024-05-10 08:43:32, 62.18
2024-05-10 08:43:35, 62.36
2024-05-10 08:43:38, 62.56
2024-05-10 08:43:42, 62.75
2024-05-10 08:43:45, 62.97
2024-05-10 08:43:48, 65.12
2024-05-10 08:43:51, 63.22
2024-05-10 08:43:54, 63.42
2024-05-10 08:43:58, 63.61
2024-05-10 08:44:01, 63.81
2024-05-10 08:44:04, 64.01
2024-05-10 08:44:07, 66.22
2024-05-10 08:44:11, 64.23
2024-05-10 08:44:14, 64.43
2024-05-10 08:44:17, 64.61
2024-05-10 08:44:20, 64.81
2024-05-10 08:44:24, 65.01
2024-05-10 08:44:27, 66.18
2024-05-10 08:44:30, 65.22
2024-05-10 08:44:33, 65.40
2024-05-10 08:44:37, 65.58
2024-05-10 08:44:40, 65.77
2024-05-10 08:44:43, 65.97
2024-05-10 08:44:46, 66.17
2024-05-10 08:44:50, 74.17
2024-05-10 08:44:53, 66.34
2024-05-10 08:44:56, 66.54
2024-05-10 08:44:59, 66.73
2024-05-10 08:45:03, 66.92
2024-05-10 08:45:06, 67.13
2024-05-10 08:45:09, 71.99
2024-05-10 08:45:12, 67.30
2024-05-10 08:45:16, 67.49
2024-05-10 08:45:19, 67.68
2024-05-10 08:45:22, 67.87
2024-05-10 08:45:25, 68.05
2024-05-10 08:45:28, 75.26
2024-05-10 08:45:32, 83.02
2024-05-10 08:45:35, 89.59
2024-05-10 08:45:38, 58.18
2024-05-10 08:45:41, 45.90
2024-05-10 08:45:45, 45.92
2024-05-10 08:45:48, 45.93
2024-05-10 08:45:51, 45.94
2024-05-10 08:45:54, 45.95
2024-05-10 08:45:58, 45.95
2024-05-10 08:46:01, 45.99
2024-05-10 08:46:04, 45.98
2024-05-10 08:46:07, 45.99
2024-05-10 08:46:11, 46.00
2024-05-10 08:46:14, 45.99
2024-05-10 08:46:17, 46.01
2024-05-10 08:46:20, 46.02
2024-05-10 08:46:24, 46.01
2024-05-10 08:46:27, 46.01
2024-05-10 08:46:30, 46.02
2024-05-10 08:46:33, 46.02
2024-05-10 08:46:37, 46.02
2024-05-10 08:46:40, 46.02
2024-05-10 08:46:43, 46.03
2024-05-10 08:46:46, 46.03
2024-05-10 08:46:50, 46.04
2024-05-10 08:46:53, 46.04
2024-05-10 08:46:56, 46.04
2024-05-10 08:46:59, 46.05
2024-05-10 08:47:03, 46.05
2024-05-10 08:47:06, 46.06
2024-05-10 08:47:09, 46.08
2024-05-10 08:47:12, 46.08
2024-05-10 08:47:15, 46.09
2024-05-10 08:47:19, 46.09
2024-05-10 08:47:22, 46.08
2024-05-10 08:47:25, 46.10
2024-05-10 08:47:28, 46.10
2024-05-10 08:47:32, 46.09
2024-05-10 08:47:35, 46.10
2024-05-10 08:47:38, 46.10
2024-05-10 08:47:41, 46.11
2024-05-10 08:47:45, 46.11
2024-05-10 08:47:48, 46.11
2024-05-10 08:47:51, 46.12
2024-05-10 08:47:54, 46.13
2024-05-10 08:47:58, 46.13
2024-05-10 08:48:01, 46.12
2024-05-10 08:48:04, 46.13
2024-05-10 08:48:07, 46.13
2024-05-10 08:48:11, 46.13
2024-05-10 08:48:14, 46.13
2024-05-10 08:48:17, 46.14
2024-05-10 08:48:20, 46.15
2024-05-10 08:48:24, 46.16
2024-05-10 08:48:27, 46.16
2024-05-10 08:48:30, 46.17
2024-05-10 08:48:33, 46.16
2024-05-10 08:48:37, 46.16
2024-05-10 08:48:40, 46.16
2024-05-10 08:48:43, 46.16
2024-05-10 08:48:46, 46.16
2024-05-10 08:48:50, 46.17
2024-05-10 08:48:53, 46.16
2024-05-10 08:48:56, 46.17
2024-05-10 08:48:59, 46.16
2024-05-10 08:49:02, 46.16
2024-05-10 08:49:06, 46.16
2024-05-10 08:49:09, 46.17
2024-05-10 08:49:12, 46.18
2024-05-10 08:49:15, 46.19
2024-05-10 08:49:19, 46.20
2024-05-10 08:49:22, 46.21
2024-05-10 08:49:25, 46.21
2024-05-10 08:49:28, 46.22
2024-05-10 08:49:32, 46.22
2024-05-10 08:49:35, 46.22
2024-05-10 08:49:38, 46.22
2024-05-10 08:49:41, 46.23
2024-05-10 08:49:45, 46.23
2024-05-10 08:49:48, 46.23
2024-05-10 08:49:51, 46.23
2024-05-10 08:49:54, 46.22
2024-05-10 08:49:58, 46.24
2024-05-10 08:50:01, 46.24
2024-05-10 08:50:04, 46.25
2024-05-10 08:50:07, 46.25
2024-05-10 08:50:11, 46.26
2024-05-10 08:50:14, 46.25
2024-05-10 08:50:17, 46.26
2024-05-10 08:50:20, 46.27
2024-05-10 08:50:24, 46.27
2024-05-10 08:50:27, 46.27
2024-05-10 08:50:30, 46.27
2024-05-10 08:50:33, 46.25
2024-05-10 08:50:37, 46.25
